Taxon,Cluster
E8152,1
E7515,1
E8111,1
E7912,1
E7892,1
E7938,1
E7902,1
E7907,1
E7514,1
E7943,1
E7945,1
E7900,1
E7911,1
E7897,1
E7936,1
E7512,1
E7920,1
E7997,1
E8240,1
E7909,1
E7913,1
E7898,1
E7895,1
E8428,1
E7937,1
E8123,1
E7917,1
E7944,1
E7894,1
E7899,1
E7998,1
E7923,1
E7906,1
E7915,1
E8432,1
E7921,1
E7901,1
E7910,1
E8122,1
E8121,1
E8153,1
E7925,1
E8330,1
E7924,1
E7940,1
E7506,1
E7903,1
E7922,1
E7511,1
E8206,1
E8124,1
E7889,1
E7904,1
E7927,1
E8154,1
E7891,1
E8131,1
E8126,1
E7919,1
E7933,1
E8112,1
E7905,1
E8145,1
E7934,1
E7908,1
E7510,1
E7914,1
E8127,1
E7896,1
E7673,2
E8415,2
E8011,2
E7697,2
E7963,2
E8017,2
E7990,2
E8438,2
E8013,2
E7992,2
E8015,2
E7991,2
E8188,2
E7967,2
E7476,2
E8390,2
E7986,2
E8192,2
E8388,2
E7968,2
E8004,2
E7989,2
E7882,2
E7969,2
E7684,2
E8205,2
E8184,2
E8001,2
E8002,2
E8437,2
E8005,2
E7987,2
E7993,2
E8003,2
E7885,2
E7699,2
E7688,2
E8008,2
E8129,2
E7999,2
E8018,2
E7700,2
E8395,2
E8182,2
E7877,2
E8201,2
E7995,2
E7876,2
E7836,2
E7886,2
E8035,2
E7696,2
E8185,2
E7884,2
E8016,2
E8189,2
E9000,2
E7994,2
E8009,2
E7672,2
E7965,2
E7703,2
E8014,2
E7698,2
E8191,2
E8224,2
E8421,2
E8210,2
E7693,3
E7644,3
E7709,3
E7671,3
E7651,3
E7705,3
E7612,3
E7704,3
E7710,3
E7833,3
E7701,3
E7677,3
E7695,3
E7687,3
E7857,3
E7706,3
E7874,3
E7654,3
E7653,3
E7648,3
E7839,3
E7642,3
E7607,3
E7663,3
E7682,3
E7683,3
E7669,3
E7679,3
E7664,3
E7645,3
E7613,3
E7658,3
E7666,3
E7667,3
E7708,3
E7655,3
E7665,3
E7649,3
E7650,3
E7611,3
E7702,3
E7652,3
E7707,3
E7668,3
E7647,3
E7681,3
E7954,3
E7676,3
E7680,3
E7856,3
E7670,3
E7656,3
E7610,3
E7640,3
E7712,3
E7694,3
E7643,3
E7674,3
E7675,3
E7657,3
E7646,3
E7659,3
E7419,4
E7528,4
E7578,4
E7485,4
E7518,4
E7519,4
E7368,4
E7333,4
E7521,4
E7536,4
E7483,4
E7529,4
E7482,4
E7550,4
E7417,4
E7579,4
E7496,4
E7479,4
E7414,4
E7415,4
E7416,4
E7530,4
E7588,4
E7484,4
E7480,4
E7502,4
E7587,4
E7525,4
E7413,4
E7495,4
E7498,4
E7527,4
E7481,4
E7520,4
E7499,4
E7516,4
E7497,4
E7524,4
E7581,4
E8197,5
E8204,5
E8216,5
E7375,5
E7376,5
E8214,5
E8196,5
E7508,5
E8198,5
E7509,5
E8212,5
E7380,5
E8055,5
E8217,5
E7367,5
E8056,5
E8241,5
E7340,5
E8051,5
E7337,5
E7362,5
E7318,5
E7507,5
E8242,5
E8053,5
E8262,5
E7478,6
E7501,6
E7555,6
E7504,6
E7522,6
E7320,6
E7523,6
E7392,6
E7573,6
E7470,6
E7503,6
E7319,6
E7585,6
E7500,6
E7513,6
E8418,7
E8050,7
E7393,7
E7835,7
E8058,7
E8062,7
E8430,7
E7412,7
E8023,7
E8022,7
E8024,7
E8059,7
E8025,7
E7660,7
E8030,8
E7950,8
E7951,8
E7946,8
E8032,8
E7948,8
E8036,8
E8037,8
E7947,8
E8031,8
E7953,8
E7949,8
E7535,9
E7531,9
E7543,9
E7576,9
E7545,9
E7544,9
E7549,9
E7538,9
E7575,9
E7534,9
E7551,9
E7537,9
E8435,10
E9013,10
E9003,10
E8434,10
E9012,10
E8440,10
E9004,10
E8422,10
E8458,10
E8457,10
E8167,11
E8168,11
E8170,11
E8157,11
E8164,11
E8174,11
E8175,11
E8155,11
E8158,11
E8156,11
E7356,12
E7348,12
E7358,12
E7353,12
E7349,12
E9018,12
E7354,12
E7355,12
E7351,12
E7352,12
E7309,13
E7323,13
E7837,13
E7311,13
E7325,13
E7327,13
E7308,13
E7310,13
E7326,13
E7324,13
E8349,14
E8400,14
E8344,14
E8340,14
E8399,14
E8348,14
E8347,14
E8351,14
E8346,14
E7382,15
E7338,15
E7383,15
E7344,15
E7322,15
E7328,15
E7339,15
E7343,15
E7465,16
E7466,16
E7464,16
E7462,16
E7463,16
E7467,16
E7461,16
E7426,17
E7489,17
E7438,17
E7436,17
E7439,17
E7488,17
E7583,17
E8213,18
E8222,18
E8219,18
E8220,18
E8223,18
E7405,19
E7377,19
E7418,19
E7378,19
E7366,19
E8459,20
E8447,20
E9002,20
E8448,20
E8426,21
E8425,21
E8424,21
E8436,21
E8409,22
E8419,22
E8408,22
E8420,22
E8303,23
E8238,23
E8386,23
E8391,23
E8041,24
E8049,24
E8040,24
E8038,24
E8044,25
E7996,25
E8020,25
E8028,25
E7931,26
E7942,26
E7932,26
E7964,26
E7926,27
E8176,27
E7609,27
E7546,27
E7424,28
E7440,28
E7441,28
E7425,28
E7369,29
E7330,29
E7437,29
E7331,29
E8452,30
E8445,30
E8460,30
E8343,31
E8345,31
E8350,31
E9007,32
E9009,32
E8200,32
E8199,33
E8218,33
E8225,33
E8203,34
E8166,34
E8221,34
E8033,35
E8034,35
E8454,35
E7840,36
E7842,36
E7850,36
E8234,37
E8406,37
E7692,37
E7893,38
E7608,38
E7890,38
E7592,39
E7591,39
E7589,39
E9010,40
E7580,40
E8010,40
E7410,41
E7408,41
E7409,41
E7315,42
E7317,42
E7361,42
E7360,43
E7314,43
E7316,43
E8423,44
E8444,44
E8410,45
E8398,45
E8394,46
E8393,46
E8427,47
E8342,47
E8323,48
E8233,48
E8208,49
E8207,49
E8202,50
E8194,50
E8165,51
E8181,51
E8146,52
E8147,52
E8128,53
E8048,53
E8027,54
E8047,54
E8026,55
E8039,55
E7970,56
E8000,56
E7860,57
E7861,57
E7872,58
E7858,58
E7594,59
E7593,59
E7586,60
E7577,60
E7548,61
E7966,61
E7477,62
E7678,62
E7475,63
E7474,63
E7428,64
E7429,64
E7402,65
E7407,65
E7539,66
E7342,66
E9017,67
E9016,68
E9015,69
E9014,70
E9011,71
E9006,72
E9005,73
E9001,74
E8455,75
E8453,76
E8451,77
E8450,78
E8449,79
E8443,80
E8442,81
E8441,82
E8439,83
E8433,84
E8431,85
E8416,86
E8414,87
E8413,88
E8412,89
E8407,90
E8405,91
E8404,92
E8403,93
E8402,94
E8401,95
E8397,96
E8396,97
E8392,98
E8387,99
E8341,100
E8339,101
E8285,102
E8263,103
E8239,104
E8237,105
E8236,106
E8235,107
E8232,108
E8215,109
E8211,110
E8209,111
E8193,112
E8190,113
E8187,114
E8183,115
E8180,116
E8179,117
E8178,118
E8177,119
E8173,120
E8172,121
E8163,122
E8150,123
E8148,124
E8130,125
E8125,126
E8110,127
E8057,128
E8054,129
E8052,130
E8046,131
E8045,132
E8042,133
E8029,134
E8019,135
E8012,136
E7952,137
E7941,138
E7939,139
E7935,140
E7928,141
E7918,142
E7862,143
E7838,144
E7711,145
E7690,146
E7689,147
E7686,148
E7685,149
E7662,150
E7641,151
E7603,152
E7599,153
E7597,154
E7596,155
E7595,156
E7590,157
E7556,158
E7554,159
E7547,160
E7526,161
E7493,162
E7491,163
E7490,164
E7487,165
E7486,166
E7471,167
E7444,168
E7434,169
E7432,170
E7431,171
E7430,172
E7427,173
E7423,174
E7422,175
E7411,176
E7404,177
E7403,178
E7401,179
E7394,180
E7391,181
E7381,182
E7379,183
E7363,184
E7359,185
E7357,186
E7336,187
E7335,188
E7334,189
E7332,190
E7329,191
E7321,192
E7313,193
E7312,194
E1141,195
E0470,196
